Name,Grade Level,PhysicsScore,BiologyScore,MathematicsScore,EnglishScore,SportsParticipation,SportsAchievements,ExtracurricularActivities,LeadershipRole,CareerAspiration,STEMPathway
Sarah Mutiso, 8,73,67,56,94,1,0ne,Drama Club,Class Representative,Athlete,1
Esther Nyambura, 10,74,80,52,89,1,County Level,Debate Club,Class Representative,Teacher,1
Elijah Nyakundi, 7,,,60,76,0,0ne,Art Club,Class Representative,Lawyer,0
James Mutiso, 8,91,66,97,50,0,0ne,0ne,Club Leader,Lawyer,1
Kevin Juma, 11,57,54,64,78,0,National Level,Drama Club,Class Representative,Surgeon,1
Linet Kibera, 6,78,89,68,76,1,0ne,Art Club,Class Representative,Engineer,0
Charles Chege, 6,80,97,86,92,1,School Level,Art Club,Class Representative,Artist,1
Ann Atieno, 8,55,,51,,0,0ne,Music Club,Club Leader,Pilot,1
Linet Kiplangat, 9,62,,92,54,0,School Level,Drama Club,,Data Scientist,1
Faith Muthama, 8,61,77,,,0,County Level,0ne,,Lawyer,0
Tom Otieno, 8,89,60,95,79,0,0ne,Music Club,Class Representative,Pilot,1
Paul Wanjiku, 8,71,80,68,96,0,0ne,Science Club,Class Representative,Lawyer,1
Andrew Wanjiru, 9,84,99,82,73,0,County Level,Debate Club,,Musician,1
Lilian Otieno, 8,68,85,54,,0,National Level,Debate Club,Club Leader,Pilot,0
Nelson Juma, 8,76,61,76,80,0,County Level,Art Club,Class Representative,Lawyer,1
Stella Nyambura, 10,94,,74,68,0,National Level,Art Club,Club Leader,Engineer,0
Esther Chirchir, 7,,94,55,75,1,County Level,Debate Club,Class Representative,Pharmacist,1
James Otieno, 8,61,93,81,80,1,County Level,Music Club,Class Representative,Lawyer,1
Faith Atieno, 10,62,75,,53,1,National Level,0ne,,Pharmacist,0
Rose Njoroge, 11,74,75,59,57,1,School Level,Art Club,Class Representative,Teacher,0
James Simiyu, 9,,55,66,86,1,National Level,Debate Club,,Athlete,0
Ann Mwikali, 7,70,53,,96,1,0ne,Science Club,,Musician,1
Esther Juma, 10,62,65,57,82,0,National Level,Debate Club,Club Leader,Artist,0
James Kilonzo, 7,56,,88,62,0,County Level,Science Club,Club Leader,Pilot,0
Samuel Wamuyu, 11,54,93,82,65,0,School Level,Music Club,,Athlete,1
Elijah Ngoya, 7,54,90,73,92,1,County Level,Music Club,,Athlete,0
Susan Nyambura, 6,83,75,86,87,0,0ne,Art Club,,Teacher,0
Esther Chege, 12,,87,53,54,1,School Level,Art Club,,Accountant,1
Peter Chirchir, 6,81,72,100,68,1,0ne,Debate Club,,Lawyer,0
Peter Kigen, 12,50,55,78,56,1,National Level,Debate Club,Club Leader,Surgeon,1
John Chebet, 11,56,,75,58,1,National Level,Drama Club,Class Representative,Pilot,1
Dorcas Chirchir, 9,62,84,51,74,0,School Level,Science Club,Club Leader,Artist,1
Kevin Kibet, 11,84,75,72,50,0,National Level,Science Club,Club Leader,Musician,0
Stella Njoroge, 6,,61,89,83,0,National Level,Debate Club,Class Representative,Pilot,0
Dennis Njoroge, 12,54,96,60,76,0,National Level,Drama Club,Club Leader,Artist,0
Eliud Nyakundi, 10,57,52,88,82,1,0ne,Debate Club,Class Representative,Lawyer,0
Samuel Mutiso, 9,85,78,96,92,1,County Level,0ne,Club Leader,Teacher,1
Faith Otieno, 6,58,74,63,51,0,0ne,0ne,Club Leader,Engineer,0
Esther Kiprop, 9,,74,83,92,1,School Level,Art Club,Club Leader,Teacher,0
Dennis Simiyu, 8,,63,76,100,1,School Level,Science Club,Class Representative,Musician,1
Ann Koome, 7,85,96,76,91,1,School Level,Drama Club,Club Leader,Engineer,1
Samuel Mutua, 10,69,95,68,84,0,County Level,Debate Club,,Athlete,0
Sarah Otieno, 7,73,74,100,79,1,National Level,Music Club,Class Representative,Lawyer,1
Agnes Akinyi, 6,55,93,62,78,1,School Level,Music Club,Club Leader,Accountant,0
Lilian Njoroge, 10,91,68,,,0,National Level,Debate Club,Class Representative,Pilot,0
Jacinta Chebet, 6,70,100,61,62,0,0ne,Science Club,Class Representative,Doctor,0
John Nduati, 11,89,97,76,53,1,School Level,Music Club,Class Representative,Lawyer,0
Dorcas Chebet, 6,65,57,70,74,0,National Level,Art Club,Class Representative,Lawyer,0
Henry Otieno, 6,91,96,85,85,1,School Level,Music Club,Class Representative,Teacher,0
David Mwende, 12,74,66,91,69,1,0ne,Drama Club,Class Representative,Lawyer,0
Hannah Koome, 8,99,79,53,71,1,National Level,Art Club,Club Leader,Engineer,1
Tom Kilonzo, 6,66,88,86,54,0,0ne,Art Club,,Pharmacist,1
Lucy Simiyu, 12,91,86,50,82,0,National Level,Art Club,Class Representative,Engineer,1
Linet Kibera, 12,50,63,65,,0,National Level,Music Club,Class Representative,Data Scientist,0
Susan Chirchir, 11,52,69,79,86,1,National Level,Science Club,Club Leader,Accountant,0
Joseph Chebet, 11,78,59,79,69,0,School Level,Drama Club,Class Representative,Teacher,1
Ann Nyakundi, 6,100,54,84,,1,0ne,Debate Club,Club Leader,Teacher,0
Eliud Mwikali, 9,59,59,81,63,1,School Level,Music Club,Club Leader,Data Scientist,0
Andrew Juma, 8,,100,94,65,1,School Level,Art Club,,Athlete,0
Paul Chege, 6,86,99,76,71,0,0ne,Art Club,Club Leader,Data Scientist,0
Mary Kibet, 10,82,60,53,84,1,School Level,Science Club,Club Leader,Athlete,1
Joseph Mutua, 12,56,73,97,70,1,County Level,Science Club,Class Representative,Accountant,0
Ian Onyango, 7,82,61,67,89,1,0ne,0ne,Club Leader,Engineer,1
Mary Chirchir, 6,86,77,,76,0,County Level,Science Club,Club Leader,Surgeon,1
Francis Kigen, 7,95,,58,55,0,School Level,Debate Club,Club Leader,Doctor,0
Rose Kirui, 12,92,71,54,69,0,County Level,0ne,,Engineer,1
Lilian Kirui, 8,71,,,97,0,0ne,Science Club,Club Leader,Doctor,1
Rose Davis, 10,87,83,56,80,1,National Level,Drama Club,Class Representative,Accountant,1
Beatrice Kamau, 12,58,74,88,94,0,0ne,Art Club,,Teacher,1
Fredrick Wanjiru, 10,100,82,87,78,1,County Level,Music Club,Class Representative,Lawyer,1
Agnes Wairimu, 12,85,64,80,,0,0ne,0ne,Club Leader,Artist,0
Dorcas Mutiso, 7,62,82,72,81,0,0ne,0ne,Class Representative,Data Scientist,1
Joseph Mwende, 7,68,72,84,72,1,National Level,0ne,Class Representative,Engineer,1
Henry Rono, 12,67,50,61,86,0,0ne,Art Club,Club Leader,Accountant,0
Lucy Ngoya, 12,75,93,99,89,1,County Level,Debate Club,Class Representative,Doctor,1
Jacinta Doe, 9,61,100,91,81,1,0ne,0ne,Class Representative,Doctor,0
Dennis Otieno, 10,79,,63,75,1,National Level,Science Club,,Accountant,1
Elijah Kibera, 7,66,99,91,81,1,County Level,Art Club,Club Leader,Accountant,0
Charles Juma, 10,,99,100,75,0,School Level,Music Club,,Pilot,1
Andrew Mutua, 6,100,66,57,50,0,National Level,Science Club,Class Representative,Engineer,1
David Otieno, 8,84,83,,91,1,School Level,Debate Club,,Pilot,1
Lilian Wangechi, 6,94,68,72,60,0,County Level,Art Club,Club Leader,Athlete,0
David Achieng, 12,86,91,66,79,0,School Level,Science Club,Class Representative,Musician,1
David Nyakundi, 6,73,66,68,54,1,National Level,Drama Club,,Athlete,1
Ian Kigen, 6,84,95,,,0,0ne,Art Club,Club Leader,Athlete,0
Ann Wairimu, 11,63,85,,61,1,0ne,Drama Club,Club Leader,Pharmacist,0
Martin Nduati, 9,54,57,93,59,1,School Level,Art Club,Club Leader,Accountant,0
Henry Chebet, 12,75,54,76,68,0,National Level,Debate Club,,Engineer,1
Eliud Ngoya, 6,56,53,66,91,0,County Level,Art Club,Club Leader,Musician,0
Francis Kiprop, 10,65,96,82,74,1,0ne,Science Club,Club Leader,Accountant,1
Irene Akinyi, 8,76,88,79,,0,0ne,Art Club,,Surgeon,1
Henry Kigen, 8,93,63,91,93,1,School Level,Art Club,Club Leader,Pharmacist,1
Elijah Davis, 6,51,64,58,,1,School Level,Art Club,Class Representative,Lawyer,0
Mercy Wamuyu, 11,71,89,69,62,0,County Level,0ne,Club Leader,Teacher,1
Ann Kilonzo, 7,92,57,80,94,1,National Level,Music Club,,Doctor,1
Agnes Wanjiku, 9,81,68,58,70,0,County Level,0ne,Club Leader,Pilot,0
Tom Akinyi, 11,76,59,63,83,0,0ne,Debate Club,Class Representative,Lawyer,0
Irene Njoroge, 9,86,79,61,64,0,County Level,Art Club,,Accountant,1
John Wambui, 7,86,82,68,90,1,0ne,Drama Club,Club Leader,Pilot,0
Kennedy Nyakundi, 12,67,90,76,83,1,National Level,Science Club,Club Leader,Engineer,0
Alex Chirchir, 6,85,98,99,54,1,County Level,Science Club,Club Leader,Surgeon,1
David Njoroge, 7,70,91,68,85,0,0ne,Music Club,,Athlete,1
Mercy Koome, 8,63,,76,76,0,County Level,Drama Club,Club Leader,Data Scientist,1
Faith Wanjiru, 8,95,55,98,56,0,National Level,Science Club,,Artist,0
Ann Mutiso, 11,75,70,,93,1,School Level,Music Club,,Surgeon,0
Linet Kamau, 9,91,61,96,99,0,National Level,Art Club,,Surgeon,0
Faith Onyango, 6,90,73,51,69,0,School Level,Drama Club,Class Representative,Lawyer,0
Esther Wairimu, 10,75,92,,90,0,National Level,Art Club,,Surgeon,1
Beatrice Simiyu, 12,81,62,72,90,0,National Level,Debate Club,Class Representative,Engineer,1
Susan Kariuki, 11,89,79,80,78,0,School Level,Art Club,Club Leader,Lawyer,0
Lilian Chirchir, 8,76,90,69,84,1,School Level,Music Club,Club Leader,Lawyer,0
Peter Kariuki, 9,60,96,,83,0,School Level,0ne,Club Leader,Pilot,1
Ian Simiyu, 10,65,92,77,52,0,County Level,Art Club,,Engineer,0
Peter Wairimu, 9,80,52,70,53,1,School Level,Debate Club,Club Leader,Pharmacist,0
Lilian Nduati, 12,,54,59,83,1,0ne,Drama Club,,Doctor,0
Tom Ochieng, 6,63,71,79,93,1,County Level,Science Club,Club Leader,Artist,0
Agnes Makori, 8,75,77,97,64,0,0ne,Debate Club,Club Leader,Athlete,1
Samuel Wangechi, 9,52,50,97,62,0,National Level,Art Club,Club Leader,Doctor,1
Lilian Kigen, 11,,83,84,59,0,School Level,0ne,Class Representative,Engineer,0
Ian Nyambura, 11,61,71,89,72,0,School Level,Science Club,Club Leader,Teacher,0
Charles Njoroge, 11,75,,90,73,0,School Level,Art Club,Class Representative,Teacher,1
Kevin Kirui, 9,89,99,,65,1,0ne,0ne,Club Leader,Teacher,1
Jacinta Juma, 6,78,52,66,,0,County Level,Music Club,Club Leader,Pilot,0
James Kilonzo, 9,88,68,59,66,0,County Level,Debate Club,Club Leader,Surgeon,1
Mary Kibera, 6,62,65,57,57,1,National Level,Science Club,Club Leader,Surgeon,1
Nelson Kilonzo, 6,,68,,51,1,National Level,0ne,Club Leader,Lawyer,0
Lucy Mutua, 10,86,82,63,,1,County Level,Debate Club,,Pharmacist,0
Nelson Davis, 7,77,86,69,55,1,0ne,Music Club,,Accountant,0
John Makori, 9,88,63,50,71,1,0ne,Art Club,Club Leader,Lawyer,0
Hannah Kibet, 10,57,89,61,77,1,0ne,Art Club,Club Leader,Lawyer,1
James Kilonzo, 12,91,91,79,52,0,0ne,Music Club,Class Representative,Surgeon,0
Dorcas Chirchir, 11,76,63,78,62,1,School Level,Drama Club,Club Leader,Teacher,1
Stephen Davis, 8,50,74,97,63,1,County Level,Science Club,Club Leader,Lawyer,1
Agnes Simiyu, 7,52,61,94,,0,National Level,Art Club,,Artist,0
Alex Nyambura, 7,96,63,98,84,0,National Level,Debate Club,Club Leader,Accountant,0
Nelson Simiyu, 6,,76,97,71,0,School Level,Science Club,Club Leader,Teacher,1
Sarah Rono, 8,54,70,,51,0,School Level,Art Club,,Athlete,0
Esther Njoroge, 9,91,80,84,70,0,County Level,Drama Club,Club Leader,Musician,1
Tom Kirui, 7,72,94,98,98,1,School Level,Debate Club,,Musician,1
Faith Mwende, 10,100,70,78,73,1,School Level,Science Club,,Teacher,1
Irene Njoroge, 12,90,97,,70,1,County Level,Drama Club,Class Representative,Surgeon,0
Andrew Achieng, 8,64,100,80,57,0,National Level,Drama Club,Club Leader,Athlete,1
Nelson Achieng, 12,,88,98,94,1,School Level,Debate Club,,Pharmacist,0
Agnes Kariuki, 11,,78,84,99,0,School Level,0ne,Club Leader,Pharmacist,0
Agnes Mutiso, 12,85,66,,,0,National Level,Music Club,Class Representative,Pharmacist,0
Grace Davis, 9,77,93,95,81,1,National Level,Music Club,Club Leader,Pilot,1
Agnes Kigen, 7,69,87,99,59,0,School Level,Music Club,Class Representative,Doctor,0
Charles Kibet, 7,78,88,,77,0,0ne,Debate Club,,Accountant,1
John Oduor, 11,79,89,60,88,1,School Level,Drama Club,Class Representative,Musician,0
John Wanjiru, 9,75,97,63,90,0,School Level,0ne,,Accountant,1
Paul Juma, 6,,71,56,,1,0ne,Debate Club,,Athlete,0
Stephen Kirui, 10,52,73,56,82,0,0ne,Drama Club,,Athlete,0
Nelson Achieng, 6,62,77,92,99,0,0ne,Music Club,,Surgeon,1
Kevin Kariuki, 6,91,86,84,79,1,National Level,Debate Club,Club Leader,Artist,1
David Kigen, 11,81,91,59,54,1,School Level,Drama Club,Class Representative,Teacher,0
Dorcas Kirui, 10,68,88,55,62,1,0ne,0ne,Class Representative,Pharmacist,1
Jacinta Mutua, 7,99,84,78,58,1,School Level,Debate Club,Class Representative,Doctor,1
Martin Doe, 6,51,94,78,80,1,National Level,Drama Club,,Data Scientist,0
Susan Simiyu, 9,86,,83,82,0,School Level,Science Club,Class Representative,Accountant,1
Mary Njoroge, 6,88,,94,65,0,School Level,Drama Club,Class Representative,Musician,1
Joseph Davis, 6,91,74,58,69,1,0ne,Debate Club,Class Representative,Musician,0
Kennedy Mwende, 7,78,76,90,71,1,School Level,Music Club,,Artist,1
Agnes Nduati, 11,73,75,91,52,1,County Level,Drama Club,,Pilot,0
John Njoroge, 12,94,61,67,71,1,0ne,Drama Club,,Doctor,1
James Nduati, 10,,75,79,56,1,School Level,Debate Club,,Lawyer,0
Agnes Wairimu, 11,63,57,73,87,0,School Level,Music Club,,Lawyer,0
Lucy Mwikali, 11,,63,98,,1,0ne,0ne,,Teacher,1
Ian Njoroge, 12,77,68,100,90,0,School Level,Science Club,Class Representative,Teacher,0
Dorcas Kilonzo, 8,85,97,66,97,0,National Level,Drama Club,,Lawyer,1
Mercy Kibet, 8,,81,73,79,1,National Level,Music Club,,Pilot,1
Ann Wambui, 11,94,84,90,53,1,National Level,Science Club,,Surgeon,0
Mercy Nyakundi, 8,85,60,77,71,1,0ne,Art Club,Club Leader,Pharmacist,0
David Mutiso, 11,70,90,54,59,1,County Level,Science Club,Class Representative,Doctor,1
Faith Wamuyu, 12,,71,,88,1,County Level,Drama Club,Class Representative,Pharmacist,1
Eliud Wangechi, 12,98,73,69,80,0,School Level,Art Club,Club Leader,Artist,0
Agnes Ngoya, 11,96,,,,1,National Level,0ne,Club Leader,Teacher,1
Kennedy Oduor, 9,98,86,50,97,0,County Level,Music Club,Club Leader,Musician,1
Lucy Otieno, 6,87,82,55,65,1,National Level,Debate Club,Class Representative,Surgeon,1
Grace Mutua, 10,76,65,58,83,1,School Level,Music Club,Club Leader,Surgeon,0
James Nyambura, 7,70,52,97,90,1,National Level,Drama Club,Class Representative,Surgeon,1
Joseph Kiprop, 9,56,,99,82,0,National Level,Debate Club,Class Representative,Pilot,0
Andrew Otieno, 7,52,83,69,96,0,0ne,Art Club,Class Representative,Teacher,0
Kevin Atieno, 8,73,97,97,82,0,0ne,Debate Club,Club Leader,Data Scientist,1
Faith Wanjiku, 7,84,65,83,58,0,County Level,Debate Club,,Teacher,1
Grace Mwikali, 11,75,88,81,59,0,School Level,0ne,Class Representative,Data Scientist,0
Grace Wambui, 11,80,100,62,81,0,National Level,Science Club,Club Leader,Data Scientist,1
Dennis Nyakundi, 6,77,80,85,56,1,0ne,Music Club,Club Leader,Lawyer,1
Martin Njoroge, 7,67,85,74,55,0,County Level,0ne,Club Leader,Pilot,0
Grace Kimeu, 12,91,64,,83,0,National Level,Science Club,Class Representative,Artist,1
Rose Wambui, 7,82,90,63,58,1,0ne,Art Club,Class Representative,Lawyer,1
Samuel Muthama, 9,94,78,74,91,0,0ne,Drama Club,Club Leader,Musician,1
David Wamuyu, 11,58,76,64,52,0,National Level,Debate Club,Class Representative,Data Scientist,1
Hannah Nduati, 10,84,75,86,61,1,County Level,Drama Club,,Pharmacist,1
Faith Kigen, 11,53,50,84,69,0,County Level,Music Club,,Artist,1
James Ochieng, 10,71,93,93,72,1,National Level,Music Club,Class Representative,Pilot,0
Mary Onyango, 10,50,71,81,99,0,0ne,0ne,,Pharmacist,0
Martin Koome, 9,68,100,56,98,0,0ne,0ne,Class Representative,Pilot,0
Faith Otieno, 10,85,93,84,,1,County Level,0ne,,Musician,0
Brenda Juma, 6,,,72,54,1,School Level,Drama Club,,Accountant,0
David Mutiso, 7,58,60,98,52,0,County Level,Art Club,Class Representative,Data Scientist,0
Kevin Kariuki, 10,58,,,50,0,0ne,Science Club,,Artist,1
Peter Nyambura, 8,90,66,,64,0,National Level,Science Club,Class Representative,Engineer,0
Dorcas Otieno, 9,76,50,55,83,1,School Level,Drama Club,Class Representative,Pharmacist,1
Brenda Makori, 9,100,88,66,100,1,0ne,Drama Club,Class Representative,Artist,1
Andrew Njoroge, 8,,74,67,,0,National Level,0ne,,Lawyer,1
Joseph Achieng, 10,77,64,85,68,0,National Level,0ne,Club Leader,Data Scientist,1
Samuel Juma, 11,82,85,72,61,1,County Level,Drama Club,,Pharmacist,0
Martin Kibet, 12,98,86,59,79,0,0ne,0ne,,Data Scientist,0
Esther Doe, 9,77,80,99,,0,0ne,Art Club,,Engineer,0
Eliud Koome, 10,69,78,75,94,0,School Level,Drama Club,Club Leader,Musician,1
Andrew Kiprop, 6,96,98,79,,0,National Level,0ne,Class Representative,Pilot,0
John Chege, 7,91,,,,1,School Level,Debate Club,,Doctor,1
Brenda Doe, 10,70,79,77,72,0,0ne,Drama Club,Class Representative,Athlete,1
David Achieng, 10,79,83,60,65,1,0ne,0ne,Class Representative,Surgeon,0
Martin Nduati, 7,80,71,81,97,1,0ne,Science Club,Club Leader,Lawyer,0
Peter Nduati, 9,60,90,,51,0,0ne,Debate Club,Class Representative,Data Scientist,1
John Wanjiku, 9,69,86,92,,0,County Level,0ne,Class Representative,Teacher,1
Elijah Wairimu, 6,54,68,89,95,0,National Level,Art Club,,Pilot,0
Samuel Chege, 10,74,53,56,84,1,School Level,Art Club,Club Leader,Engineer,1
Mary Mutiso, 12,62,71,99,,0,0ne,Art Club,Class Representative,Lawyer,1
Lilian Mwende, 10,52,61,94,65,0,National Level,Debate Club,,Teacher,1
Dennis Chege, 12,80,57,50,,1,National Level,Science Club,,Pharmacist,0
Eliud Rono, 8,67,62,69,74,1,National Level,Music Club,Club Leader,Engineer,1
Charles Chirchir, 9,59,92,91,95,0,School Level,Science Club,,Pharmacist,0
Dorcas Juma, 7,65,79,74,51,1,County Level,Music Club,Club Leader,Surgeon,0
Faith Wanjiru, 7,91,60,,85,0,National Level,Drama Club,Class Representative,Data Scientist,0
Mary Mutua, 8,76,55,68,55,0,County Level,Science Club,,Lawyer,1
Hannah Kimeu, 8,51,50,98,91,0,County Level,Music Club,Class Representative,Pilot,1
Joseph Nyakundi, 11,,69,61,66,1,County Level,Science Club,,Pharmacist,0
Peter Achieng, 10,71,,89,63,1,County Level,Debate Club,Class Representative,Pilot,0
Jacinta Nyakundi, 8,89,74,71,93,1,County Level,Drama Club,,Accountant,1
Agnes Mutua, 12,60,66,57,61,0,0ne,Music Club,Club Leader,Engineer,0
Faith Otieno, 6,53,70,59,60,1,County Level,Debate Club,Club Leader,Athlete,1
Kevin Mutiso, 6,78,87,51,91,1,School Level,Music Club,Class Representative,Accountant,0
Andrew Oduor, 7,99,88,94,78,1,National Level,Music Club,,Accountant,1
Esther Kimeu, 8,90,91,68,65,0,School Level,Music Club,Club Leader,Pilot,1
Mary Wambui, 8,86,92,,73,0,0ne,Debate Club,,Athlete,1
Tom Njoroge, 6,92,98,81,59,1,0ne,Debate Club,Club Leader,Surgeon,0
Peter Otieno, 7,79,88,75,92,0,County Level,Debate Club,Club Leader,Engineer,1
Agnes Kigen, 11,78,86,73,78,1,School Level,Science Club,Class Representative,Musician,1
Tom Mwende, 10,,82,91,94,0,National Level,Drama Club,,Lawyer,1
Susan Chirchir, 12,93,92,63,62,0,School Level,Debate Club,Club Leader,Musician,1
Ann Wanjiru, 7,57,74,79,97,0,School Level,Art Club,,Pilot,1
Jacinta Juma, 6,85,,82,58,0,County Level,Drama Club,,Engineer,1
Paul Simiyu, 6,62,99,54,90,0,0ne,0ne,Class Representative,Lawyer,1
Alex Kilonzo, 10,,84,95,63,1,0ne,Debate Club,Class Representative,Artist,1
John Njoroge, 11,86,71,52,64,0,0ne,Drama Club,Class Representative,Teacher,0
Faith Mutiso, 7,52,99,69,100,0,National Level,Art Club,Class Representative,Doctor,1
Andrew Kiplangat, 8,99,,61,85,1,National Level,0ne,,Pilot,1
Agnes Nduati, 6,67,95,97,90,1,School Level,Art Club,Club Leader,Pharmacist,0
Esther Mutua, 7,50,58,92,93,0,National Level,Music Club,Class Representative,Engineer,1
Paul Otieno, 9,90,64,70,57,0,National Level,Debate Club,,Musician,1
Lucy Doe, 9,98,89,78,88,0,School Level,0ne,Club Leader,Accountant,1
Henry Wairimu, 11,96,81,57,64,1,County Level,0ne,Club Leader,Doctor,1
Agnes Mwikali, 11,92,68,100,,0,School Level,Science Club,,Artist,1
Grace Akinyi, 9,82,91,71,71,1,National Level,Science Club,Club Leader,Artist,1
Faith Njoroge, 6,89,97,,96,1,National Level,Drama Club,Club Leader,Engineer,0
Rose Kilonzo, 10,62,86,79,80,1,National Level,Drama Club,Club Leader,Pharmacist,1
Linet Ochieng, 6,64,85,58,54,1,School Level,0ne,,Doctor,0
David Kirui, 6,79,56,86,58,0,School Level,0ne,Club Leader,Pilot,1
Kevin Mwikali, 8,66,92,90,94,1,School Level,Science Club,,Artist,0
Eliud Kigen, 10,91,69,59,,0,School Level,Art Club,Club Leader,Athlete,1
Susan Muthama, 11,57,76,91,62,0,County Level,Art Club,Club Leader,Doctor,1
Stephen Mutiso, 7,61,,,74,0,County Level,Art Club,,Data Scientist,0
Brenda Chege, 12,91,69,61,65,1,County Level,Debate Club,Club Leader,Data Scientist,1
Sarah Kamau, 7,98,67,76,91,1,National Level,Drama Club,Class Representative,Pilot,0
Esther Kibera, 6,60,75,73,62,1,County Level,0ne,Club Leader,Lawyer,1
Mary Davis, 12,70,90,77,79,1,0ne,Debate Club,,Pharmacist,1
Fredrick Otieno, 8,67,92,91,78,0,National Level,Art Club,Class Representative,Teacher,1
Paul Wambui, 10,62,64,54,71,0,School Level,Science Club,,Surgeon,0
Lilian Njoroge, 10,,73,95,61,0,0ne,0ne,Class Representative,Accountant,1
Samuel Wambui, 11,,98,64,81,1,School Level,Drama Club,Class Representative,Accountant,0
Peter Wairimu, 9,,,69,80,1,School Level,Art Club,Class Representative,Teacher,0
Rose Wambui, 6,54,92,58,61,1,County Level,Art Club,Club Leader,Surgeon,0
Martin Kirui, 8,60,91,63,,0,School Level,0ne,Class Representative,Musician,1
Tom Atieno, 10,52,,62,69,1,County Level,Music Club,Class Representative,Athlete,0
Rose Kamau, 9,67,99,97,83,1,National Level,Science Club,,Accountant,0
Elijah Chirchir, 11,83,70,93,59,0,County Level,0ne,,Surgeon,0
Lucy Koome, 8,,86,79,94,0,0ne,Science Club,Class Representative,Surgeon,1
Peter Nyakundi, 9,97,55,74,78,0,County Level,0ne,Class Representative,Engineer,0
Brenda Juma, 7,70,61,62,87,1,County Level,Science Club,,Doctor,0
David Njoroge, 9,58,72,91,79,1,County Level,Drama Club,Club Leader,Pilot,0
Faith Oduor, 11,61,94,54,81,0,National Level,Science Club,Class Representative,Surgeon,1
Francis Doe, 6,84,88,88,,0,School Level,0ne,Club Leader,Artist,1
Eliud Chege, 10,91,,54,89,1,School Level,Drama Club,Club Leader,Data Scientist,1
Susan Doe, 10,87,90,72,72,0,0ne,Music Club,Class Representative,Doctor,0
Susan Mutiso, 12,80,53,99,68,1,County Level,Music Club,,Artist,1
Tom Kiplangat, 6,67,89,68,88,0,National Level,0ne,,Lawyer,1
John Chirchir, 9,57,61,87,54,0,National Level,Debate Club,Club Leader,Artist,1
Joseph Wamuyu, 7,92,82,60,97,1,National Level,Music Club,Club Leader,Engineer,1
Eliud Doe, 8,83,51,84,69,0,School Level,Debate Club,Class Representative,Pilot,1
Nelson Mutiso, 11,93,,96,,1,National Level,Drama Club,,Artist,0
Beatrice Kilonzo, 12,71,64,85,85,1,County Level,Drama Club,,Pharmacist,0
Dorcas Kibera, 6,79,,55,51,0,School Level,Art Club,,Athlete,0
Stephen Wamuyu, 6,,72,62,99,1,0ne,Music Club,Class Representative,Doctor,0
Brenda Kiprop, 11,54,55,90,97,0,0ne,Art Club,Club Leader,Athlete,1
Fredrick Ochieng, 7,86,82,98,99,1,School Level,Art Club,,Teacher,1
Linet Njoroge, 8,70,80,82,82,0,National Level,0ne,Club Leader,Engineer,0
Mercy Njoroge, 12,55,51,94,62,1,National Level,Debate Club,,Engineer,1
Stephen Rono, 6,70,62,59,50,1,National Level,Drama Club,Class Representative,Accountant,0
Martin Kiprop, 6,68,96,95,89,0,0ne,Science Club,,Musician,0
David Chirchir, 11,54,59,85,76,0,County Level,Science Club,Class Representative,Accountant,1
Ian Oduor, 9,62,,82,91,1,National Level,0ne,Club Leader,Teacher,0
Agnes Wanjiku, 11,,90,73,69,1,County Level,Art Club,Club Leader,Teacher,1
Esther Otieno, 10,82,75,88,76,0,0ne,Science Club,,Pilot,0
Hannah Mwende, 8,73,71,61,95,1,County Level,Art Club,Club Leader,Surgeon,0
Mercy Otieno, 6,,91,73,94,1,County Level,Drama Club,Club Leader,Pilot,1
Kennedy Makori, 6,68,82,,,0,County Level,Debate Club,,Athlete,0
Agnes Kariuki, 6,61,64,78,53,0,School Level,0ne,Club Leader,Surgeon,1
James Atieno, 7,98,68,75,54,0,County Level,Debate Club,Club Leader,Pilot,0
Faith Mutua, 10,71,50,,53,0,National Level,Debate Club,Class Representative,Accountant,0
Faith Wanjiku, 10,82,,94,,0,National Level,Art Club,Class Representative,Teacher,1
Jacinta Simiyu, 7,60,,67,75,1,0ne,Debate Club,Club Leader,Doctor,1
Brenda Ochieng, 12,98,71,,70,1,School Level,Drama Club,Class Representative,Surgeon,0
Kennedy Wambui, 6,64,58,50,85,1,School Level,Music Club,Club Leader,Pharmacist,1
Agnes Onyango, 7,73,55,100,98,0,School Level,Science Club,Class Representative,Engineer,1
Lucy Oduor, 8,56,78,52,81,1,School Level,Music Club,,Lawyer,1
Linet Chirchir, 9,58,68,77,98,0,National Level,Drama Club,Class Representative,Teacher,1
Esther Mwikali, 9,52,84,61,51,1,0ne,Music Club,,Athlete,1
Fredrick Wambui, 11,,78,,61,0,National Level,0ne,Club Leader,Musician,1
Eliud Chebet, 9,,,72,73,0,School Level,Art Club,Club Leader,Engineer,0
Faith Wairimu, 7,81,63,89,,1,0ne,Drama Club,Club Leader,Pilot,0
Esther Makori, 8,98,81,58,51,1,National Level,Drama Club,Club Leader,Surgeon,0
Eliud Juma, 7,58,98,65,50,1,0ne,Music Club,,Pharmacist,1
Ann Ochieng, 12,83,81,88,71,0,School Level,Debate Club,,Lawyer,1
John Mutua, 7,75,61,55,93,0,0ne,Drama Club,Class Representative,Musician,0
Nelson Wambui, 6,57,95,82,80,1,County Level,Science Club,,Pilot,0
Alex Nyakundi, 11,68,100,58,74,1,0ne,Drama Club,Class Representative,Pharmacist,0
